name,median_earn,rnk
Suffolk University,67506,307
Tufts University,83214,106
Wellesley College,84803,94
Wentworth Institute of Technology,82721,112
Western New England University,73157,212
Westfield State University,57346,672
Wheaton College (Massachusetts),67725,299
Williams College,88665,79
Worcester Polytechnic Institute,103470,22
Worcester State University,60624,521
Adrian College,55504,774
Albion College,58799,603
Alma College,54742,822
Alpena Community College,36442,1857
Andrews University,53187,914
Aquinas College,49584,1108
Baker College,35833,1875
Calvin University,58375,623
Central Michigan University,55874,752
Cleary University,54186,853
Concordia University Ann Arbor,56075,740
College for Creative Studies,44860,1407
Davenport University,45099,1392
University of Detroit Mercy,71030,242
Eastern Michigan University,51793,994
Ferris State University,54735,823
Kettering University,94823,41
Grace Christian University,41663,1586
Cornerstone University,47314,1251
Grand Valley State University,56118,739
Great Lakes Christian College,31053,1992
Henry Ford College,34795,1907
Hope College,58427,620
Jackson College,36898,1841
Kalamazoo College,65590,345
Lake Superior State University,49045,1140
Lawrence Technological University,69151,270
Madonna University,59058,592
Rochester Christian University,48707,1161
University of Michigan-Ann Arbor,83648,103
Michigan State University,67253,312
Michigan Technological University,78198,148
University of Michigan-Dearborn,59649,563
University of Michigan-Flint,53230,911
Northern Michigan University,47107,1260
Northwestern Michigan College,38167,1779
Northwood University,63075,431
Oakland University,58612,609
The University of Olivet,47907,1207
Kuyper College,41066,1616
Sacred Heart Major Seminary,49295,1129
Saginaw Valley State University,51955,982
Schoolcraft Community College District,42722,1523
Siena Heights University,57529,667
Spring Arbor University,51732,999
Wayne State University,53493,896
Western Michigan University,53562,892
Academy College,48300,1189
Augsburg University,58829,601
Bemidji State University,53755,881
Bethany Lutheran College,46110,1317
Bethel University,63764,387
Carleton College,75525,177
Concordia College at Moorhead,59317,579
Concordia University-Saint Paul,59871,556
Martin Luther College,47491,1238
Gustavus Adolphus College,65607,344
Hamline University,61106,510
Macalester College,63878,385
Minnesota State University-Mankato,56922,698
Metropolitan State University,64705,366
University of Minnesota-Twin Cities,69020,273
University of Minnesota-Crookston,58056,645
Minneapolis College of Art and Design,40873,1624
Herzing University-Minneapolis,36909,1831
University of Minnesota-Duluth,62616,448
University of Minnesota-Morris,50919,1043
Minnesota State University Moorhead,50527,1058
North Central University,45064,1395
University of Northwestern-St Paul,50755,1046
Northwestern Health Sciences University,48666,1165
Oak Hills Christian College,35983,1870
College of Saint Benedict,63260,425
Saint Cloud State University,55813,756
Saint Johns University,76786,161
Saint Mary's University of Minnesota,58170,636
St Olaf College,65543,347
Crown College,48057,1199
The College of Saint Scholastica,65934,338
University of St Thomas,73739,205
St Catherine University,59282,580
Rasmussen University-Minnesota,39080,1729
Southwest Minnesota State University,51342,1024
Dunwoody College of Technology,61511,488
Winona State University,58532,615
Alcorn State University,36421,1859
Belhaven University,46440,1305
Blue Mountain Christian University,40421,1656
Delta State University,41991,1571
Jackson State University,39060,1735
Millsaps College,53848,873
University of Mississippi,50994,1039
Mississippi University for Women,46128,1315
Mississippi Valley State University,31919,1971
Mississippi Christian University,47485,1239
Mississippi State University,51513,1019
Rust College,32275,1967
Southeastern Baptist College,26946,2038
University of Southern Mississippi,44140,1450
Tougaloo College,34724,1909
William Carey University,43087,1510
Avila University,52773,934
Mission University,38641,1753
Cox College,56867,707
Calvary University,45421,1364
Central Christian College of the Bible,34675,1910
Central Methodist University-College of Liberal Arts and Sciences,48991,1145
